client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,uses_future_exog
313,24,399021782.9013,16821.8737,19975.5296,108.31,0.0045,lstm_exog,past_exog_context_only,False
313,48,530306678.9159,19208.9458,23028.3885,108.31,0.0045,lstm_exog,past_exog_context_only,False
313,168,2261549920.6843,36662.6695,47555.7559,108.31,0.0045,lstm_exog,past_exog_context_only,False
155,24,32716975.7066,4655.0164,5719.8755,195.52,0.0041,lstm_exog,past_exog_context_only,False
155,48,32560839.1046,4673.6025,5706.2106,195.52,0.0041,lstm_exog,past_exog_context_only,False
155,168,45716716.2964,5341.3491,6761.4138,195.52,0.0041,lstm_exog,past_exog_context_only,False
236,24,36443278.0599,4409.0505,6036.8268,151.05,0.0045,lstm_exog,past_exog_context_only,False
236,48,22245608.0838,3286.0456,4716.525,151.05,0.0045,lstm_exog,past_exog_context_only,False
236,168,11811615.8073,2547.7947,3436.8031,151.05,0.0045,lstm_exog,past_exog_context_only,False
167,24,1202579.2684,927.5791,1096.6218,178.23,0.0041,lstm_exog,past_exog_context_only,False
167,48,1035338.3574,850.9913,1017.5158,178.23,0.0041,lstm_exog,past_exog_context_only,False
167,168,3017742.3503,1194.4947,1737.165,178.23,0.0041,lstm_exog,past_exog_context_only,False
186,24,2215464.2112,1359.9336,1488.4436,142.55,0.0045,lstm_exog,past_exog_context_only,False
186,48,1918254.0771,1106.7833,1385.0105,142.55,0.0045,lstm_exog,past_exog_context_only,False
186,168,1415799.7213,967.2008,1189.8738,142.55,0.0045,lstm_exog,past_exog_context_only,False
315,24,11858815.7936,2870.4309,3443.6631,115.77,0.0045,lstm_exog,past_exog_context_only,False
315,48,13815220.9184,2948.0576,3716.8832,115.77,0.0045,lstm_exog,past_exog_context_only,False
315,168,14021967.6455,3060.36,3744.5918,115.77,0.0045,lstm_exog,past_exog_context_only,False
290,24,649948.1449,683.7437,806.1936,159.97,0.0045,lstm_exog,past_exog_context_only,False
290,48,665529.5862,676.2193,815.8,159.97,0.0045,lstm_exog,past_exog_context_only,False
290,168,2183443.8204,1110.9616,1477.6481,159.97,0.0045,lstm_exog,past_exog_context_only,False
179,24,378060.1765,458.5568,614.866,151.44,0.0045,lstm_exog,past_exog_context_only,False
179,48,313549.6948,429.3337,559.9551,151.44,0.0045,lstm_exog,past_exog_context_only,False
179,168,324057.397,444.0492,569.2604,151.44,0.0045,lstm_exog,past_exog_context_only,False
119,24,219794.4564,392.2152,468.8224,124.55,0.0045,lstm_exog,past_exog_context_only,False
119,48,154384.9064,324.7724,392.9184,124.55,0.0045,lstm_exog,past_exog_context_only,False
119,168,218941.4566,382.3102,467.9118,124.55,0.0045,lstm_exog,past_exog_context_only,False
314,24,5006189.2569,1652.5105,2237.4515,213.57,0.0046,lstm_exog,past_exog_context_only,False
314,48,4651536.5377,1488.0968,2156.7421,213.57,0.0046,lstm_exog,past_exog_context_only,False
314,168,3343104.3026,1185.9328,1828.4158,213.57,0.0046,lstm_exog,past_exog_context_only,False
317,24,160.7429,10.8584,12.6784,213.83,0.0045,lstm_exog,past_exog_context_only,False
317,48,152.9661,10.1781,12.3679,213.83,0.0045,lstm_exog,past_exog_context_only,False
317,168,130.1709,8.9101,11.4092,213.83,0.0045,lstm_exog,past_exog_context_only,False
240,24,5801.524,66.0581,76.1677,168.94,0.0044,lstm_exog,past_exog_context_only,False
240,48,4962.7536,62.4308,70.4468,168.94,0.0044,lstm_exog,past_exog_context_only,False
240,168,3533.4429,50.7429,59.4428,168.94,0.0044,lstm_exog,past_exog_context_only,False
26,24,757.2907,20.9267,27.5189,142.38,0.0044,lstm_exog,past_exog_context_only,False
26,48,912.8961,20.7562,30.2142,142.38,0.0044,lstm_exog,past_exog_context_only,False
26,168,1181.0568,24.7868,34.3665,142.38,0.0044,lstm_exog,past_exog_context_only,False
203,24,2122.3449,38.1617,46.0689,142.38,0.0044,lstm_exog,past_exog_context_only,False
203,48,1998.9136,36.3174,44.7092,142.38,0.0044,lstm_exog,past_exog_context_only,False
203,168,4126.8588,49.657,64.2406,142.38,0.0044,lstm_exog,past_exog_context_only,False
134,24,7419.4682,68.0559,86.1363,257.23,0.0042,lstm_exog,past_exog_context_only,False
134,48,6269.6883,59.9551,79.1814,257.23,0.0042,lstm_exog,past_exog_context_only,False
134,168,4845.9183,49.2543,69.6126,257.23,0.0042,lstm_exog,past_exog_context_only,False
133,24,2107105.2261,1267.8124,1451.5871,97.55,0.0046,lstm_exog,past_exog_context_only,False
133,48,2184789.2887,1323.4516,1478.1033,97.55,0.0046,lstm_exog,past_exog_context_only,False
133,168,2459440.032,1416.7747,1568.2602,97.55,0.0046,lstm_exog,past_exog_context_only,False
220,24,1152.0091,24.7966,33.9413,186.21,0.0043,lstm_exog,past_exog_context_only,False
220,48,1122.031,24.7066,33.4967,186.21,0.0043,lstm_exog,past_exog_context_only,False
220,168,1200.9576,25.7296,34.6548,186.21,0.0043,lstm_exog,past_exog_context_only,False
29,24,1075.5607,25.1663,32.7957,312.65,0.0042,lstm_exog,past_exog_context_only,False
29,48,998.528,23.4425,31.5995,312.65,0.0042,lstm_exog,past_exog_context_only,False
29,168,2196.2274,38.2114,46.8639,312.65,0.0042,lstm_exog,past_exog_context_only,False
62,24,147.7252,9.5221,12.1542,206.27,0.0043,lstm_exog,past_exog_context_only,False
62,48,175.3724,10.096,13.2428,206.27,0.0043,lstm_exog,past_exog_context_only,False
62,168,166.1773,9.5664,12.891,206.27,0.0043,lstm_exog,past_exog_context_only,False
269,24,274.4462,13.8784,16.5664,179.44,0.0045,lstm_exog,past_exog_context_only,False
269,48,266.1527,13.7128,16.3142,179.44,0.0045,lstm_exog,past_exog_context_only,False
269,168,915.28,18.9029,30.2536,179.44,0.0045,lstm_exog,past_exog_context_only,False
